id,tsne_x,tsne_y,cluster
2-2355,-3.261437300893779,-11.229265975362996,2
2-15512,-19.07653847459774,-1.6522149530838188,4
2-15587,3.6189988002547353,-5.4647025049564935,2
2-5136,14.323601112851344,-8.555928963511764,2
2-7901,-2.5802629101129253,-5.003682850458991,2
2-39452,10.100602287909094,-6.196257409749288,2
2-19751,-18.998235359510733,1.6134947260710804,4
2-19853,-20.211177663736976,-3.975298123250094,4
2-10318,5.366927339691187,8.5853818712896,2
2-4611,1.660231959290642,8.151526089128774,2
2-10005,-4.4895672767188515,-2.0955242752009338,2
2-4756,3.536573936152663,6.087072306627161,2
2-4796,3.477588568135623,-7.5305057931910975,2
2-201,-4.949954280667128,-8.530998415436109,1
2-20074,7.100398880244629,6.840178833841601,2
2-10728,-15.11659815386581,-10.668879970079049,2
2-38322,-13.672099643097695,-6.379969589073409,2
2-38724,8.553737783821093,-9.594472497490072,2
2-1686,-6.646434327173308,-3.122597551340558,2
2-3363,-9.033019604692095,14.472608077616545,2
2-27038,9.206508204037991,-13.784212573757351,2
2-9771,-16.70164342276161,-1.2665719644024822,4
2-38329,16.8478456003056,-0.7595619146425916,2
2-26912,12.88393679906002,-10.461436968873908,2
2-596,-7.780093970785516,2.642616828143342,2
2-189,-6.571224476013209,0.4829058168409615,2
2-16714,3.2241373127099098,-6.2539660253395875,2
2-1331,8.152183343463252,-5.811264073140019,2
2-38290,0.4861224117967051,4.119993793328442,2
2-38472,0.8054354166833968,-0.1741946521237477,2
2-9540,-11.312328938072465,-10.052617924497945,2
2-10763,6.181720780603776,0.3320454462757409,3
2-4606,-0.6753659988552932,-1.8552323577794423,2
2-31584,12.838246646619867,-3.3245337434859006,2
2-14904,-5.01119412242728,0.22088738237684116,2
2-14439,8.150482144304064,-8.014551636142587,2
2-11601,-8.459155847024729,7.388752602331284,2
2-15572,-15.52018745639933,1.278506634525602,4
2-532,2.6766591811921705,-12.744573718217481,2
2-26780,2.6623678374565762,-6.789701347483041,2
2-30651,7.096983270635791,-3.490755797461582,2
2-13193,-0.4517814247097356,2.0336158184009627,2
2-8150,4.05212193860445,7.3454443004098335,2
2-4919,-8.234183757187978,3.9692097397289237,2
2-9224,-6.399910126318134,14.061454082405326,2
2-11913,14.67704412249425,-14.094595461671867,2
2-1514,-16.513095819590387,-11.357817253892245,2
2-19435,-9.125785066769371,-2.8427896780930455,2
2-15448,-18.59903798317765,1.2136160588208202,4
2-17947,-10.725474164776085,-4.063291502588294,2
2-38460,-12.799503136800073,-6.172699283914432,2
2-20702,-0.9539266246151319,7.030935022927281,2
2-3619,-5.202389000823344,-8.731964738914197,1
2-33024,-5.397178851099601,9.110727716140929,2
2-4605,-3.0428036320324594,-8.444445323443508,1
2-9923,4.991312416444059,-5.119949584951751,2
2-23404,-12.350930209437577,8.64347962446035,2
2-1431,-10.064292281657606,10.777503565553976,2
2-162,-5.767916162003237,-10.316363431081571,1
2-15382,2.82891029148772,-5.084300157932267,2
2-38915,2.153741386287336,-3.551421050588237,2
2-38195,-2.2011738664466387,-3.563510791167075,2
2-3405,-3.461612670304168,15.652584372743876,2
2-3567,-0.7631487942928464,7.8733088483972695,2
2-32888,10.341839494261679,-9.5787262650723,2
2-10681,0.6155921517333695,-2.79475771603403,2
2-22988,-11.516154915198422,1.7393590920384523,2
2-19394,-15.968413379703213,-3.2456933165859554,4
2-2412,2.6068606247303516,0.352498272162921,3
2-7752,2.6132350780788576,-5.674990755822976,2
2-3659,2.398392692855917,3.906109728463102,2
2-53,-5.505465162818618,9.230130420179899,2
2-32895,14.088793544985524,-10.382088950433152,2
2-15450,4.115083532198578,-4.895626858958651,2
2-39015,3.826831046227657,2.2814639865073776,2
2-36814,-15.654589767211379,-1.2613645474869202,4
2-24439,9.970839399535572,-15.86957428986424,2
2-15416,-11.015726642633004,5.442381238924755,2
2-35867,1.9772455376382285,-8.464371651888644,2
2-16346,-20.695864059521988,1.760787627394733,4
2-35813,-1.2107142233008228,7.352636162995966,2
2-25670,17.186296657512038,5.745092410058971,2
2-26187,-5.122032182817081,-8.81875077284674,1
2-38250,-0.2775039775498033,-1.1128537779127485,2
2-4850,-0.8623759115314599,10.638876781461278,2
2-3583,-10.565121614280383,0.02508659192193384,2
2-38220,-10.332562288595865,-13.083027886607361,2
2-7194,9.730243639852556,-4.983824860364179,2
2-4842,-0.15670565702525927,-11.98013930496705,2
2-38197,4.17878751549645,-10.767313903435179,2
2-10425,0.8631647125943142,-7.601780221066488,2
2-4676,7.621373876718628,1.595403474295637,3
2-38461,-10.740684514539943,-4.186413391814186,2
2-26564,13.892263359876472,-5.0065168257841854,2
2-23079,-17.24306173363608,3.491006599129749,2
2-3499,12.161054077770682,12.340636564178494,2
2-14460,-2.3415614548640082,-1.9246139017199266,2
2-14342,4.326006689410025,12.678001641056895,2
2-25990,10.789545981938995,10.321819891591012,2
2-27187,0.043006329496746494,17.922372047772903,2
2-22763,10.872194662206443,5.03068133914513,3
2-38531,1.8823305324465032,17.277179823092595,2
2-8227,4.417915927162414,16.932592073991692,2
2-2460,4.789564666989638,9.624107977934942,2
2-4559,6.961220782887342,10.68872652641582,2
2-10913,11.266579647131282,8.394894501277472,3
2-38517,11.626330647791397,8.574724433962887,3
2-10765,10.648554526476449,4.005038062759024,2
2-38342,7.372529539594108,11.124607936907108,1
2-3430,5.069335925836027,0.971861494731191,2
2-402,4.42348138003993,-1.154395512666682,2
2-38754,10.477499117609119,-4.391936836567509,3
2-39389,5.325650453891524,11.949616385772483,3
2-2445,-2.1388024377857606,8.59103304686115,3
2-8474,10.643192318655986,-7.261415672055174,2
2-13464,0.30017980021138113,18.07947248725165,2
2-26693,7.625465520458663,2.5192657850439844,3
2-4871,2.2941027457779426,3.7279194804751383,2
2-3427,1.8173532660945468,6.553239606453348,2
2-4995,14.761303725096202,-14.183789955509567,2
2-3359,13.079603180295678,14.120324639605185,3
2-4861,13.784717943207045,11.447825753229012,3
2-3575,7.102921600163174,-6.592074075605066,2
2-3594,3.838614800104797,4.164033252044078,2
2-3595,18.29308548697423,11.440929738165767,3
2-3663,14.634773466866083,9.148017613654464,3
2-12703,-10.555636321198623,-9.139303708031186,2
2-4652,5.713269044485646,3.593352467798147,2
2-19772,-10.620277195093534,-14.46175076926426,2
2-3582,3.5610346512232107,5.969177086596643,2
2-14277,4.360727695679633,7.590886519334872,2
2-27068,8.57066006935229,4.237537639251375,3
2-3469,12.663465506974015,10.214710295724107,3
2-38259,-2.8190500024909144,1.3002377625117343,2
2-30293,7.274605213135171,5.425311171244618,3
2-3502,16.657749811667973,7.127204199351205,2
2-2240,-8.037719997429608,9.929056278232354,2
2-4910,5.325342758625544,6.275916128931899,2
2-2323,-8.297165641832539,8.843651511896358,2
2-3518,1.3158273206461972,2.7772489652267636,2
2-15655,4.259462421375562,14.591039277437028,2
2-3396,-2.8359283323778066,8.178935854296805,2
2-5975,-6.833319890741821,-4.315898581306891,2
2-9905,11.015008572246801,-7.001555445407504,2
2-22654,0.14397269535524046,16.460615601771433,2
2-11007,12.258276056855633,-13.241228704598285,2
2-20005,-7.591960091029602,-1.9093874435157203,2
2-15758,-10.243785680898023,-6.043183303328766,2
2-4799,10.333720266262906,0.7017429092564007,2
2-4840,-1.0188793899219095,4.206033113980141,2
2-15398,-2.7488878924952824,-7.147402928461879,2
2-4918,3.145140225573961,15.24440015538038,2
2-10331,10.568657591890952,-14.588745792552286,2
2-16029,-1.4766579804210644,-10.978918107446692,2
2-6115,-7.181261622809121,0.650134095658045,2
2-10817,-3.434575717775648,-1.1357058682388852,3
2-26921,-4.926205478129811,3.518740055686594,2
2-25222,-5.178455141525333,-3.3134704129640076,2
2-29271,3.325690288291936,-8.654263370756862,2
2-21106,0.3546899334166911,6.184017525467595,2
2-3608,-1.3105697692792504,9.814903037452257,2
2-35503,-3.8721022047644893,5.557447797649058,2
2-39334,4.170355764047705,13.169079908422757,2
2-2426,-15.612194108471844,0.05936045983053771,4
2-19773,-10.190441387410623,-13.779974850747113,2
2-8441,12.746971060575767,-12.71951218869999,2
2-21360,0.5340478491832484,-17.629848765238837,2
2-38930,1.4305011624730948,-11.186226303549022,2
2-748,16.35979134656347,9.704312576481872,3
